,stop_lat,stop_lon,members,stop_id
109,-34.70719,-58.629663,"[np.float64(6427107206.0), np.float64(6427107207.0), np.float64(6427126988.0), np.float64(6427126987.0), np.float64(6427129318.0), np.float64(6427129319.0), np.float64(6427117626.0), np.float64(6427117625.0)]",
110,-34.510762,-58.733107,"[np.float64(6412106992.0), np.float64(6412106993.0), np.float64(6412108098.0), np.float64(6412104341.0), np.float64(6412107783.0)]",
111,-34.583195,-58.659423,"[np.float64(6408101211.0), np.float64(6408101213.0), np.float64(6408101212.0), np.float64(6408101210.0), np.float64(6408101920.0)]",
112,-34.481312,-58.678767,"[np.float64(6515106107.0), np.float64(6515106108.0), np.float64(6515121913.0), np.float64(6515126406.0), np.float64(6515102210.0), np.float64(6515102211.0)]",
113,-34.607897,-58.371887,"[np.float64(2032056.0), np.float64(2032962.0), np.float64(2031697.0), np.float64(20507.0), np.float64(2031308.0), np.float64(20506.0)]",
114,-34.502493,-58.713955,"[np.float64(6515102005.0), np.float64(6515102007.0), np.float64(6515102006.0), np.float64(6515102004.0), np.float64(6515106915.0)]",
115,-34.634347,-58.483973,"[np.float64(2031232.0), np.float64(205747.0), np.float64(2031989.0), np.float64(2032092.0), np.float64(207705.0), np.float64(201698.0), np.float64(2031916.0)]",
116,-34.533128,-58.70229,"[np.float64(6760128546.0), np.float64(6760128545.0), np.float64(6760100445.0), np.float64(6760100446.0), np.float64(6760131078.0)]",
117,-34.62413,-58.450192,"[np.float64(2031991.0), np.float64(2032008.0), np.float64(20874.0), np.float64(20872.0), np.float64(2031250.0), np.float64(20873.0), np.float64(20904.0), np.float64(205716.0)]",
118,-34.587583,-58.453545,"[np.float64(202071.0), np.float64(202072.0), np.float64(202073.0), np.float64(202078.0), np.float64(207257.0), np.float64(202076.0)]",
119,-34.69329,-58.48049,"[np.float64(6427102565.0), np.float64(6427102563.0), np.float64(6427102564.0), np.float64(6427102562.0), np.float64(6427124750.0), np.float64(6427130486.0)]",
120,-34.58865,-58.562973,"[np.float64(6371111591.0), np.float64(6371111592.0), np.float64(6371121600.0), np.float64(6371121601.0), np.float64(6371132063.0), np.float64(6371130701.0), np.float64(6371126541.0)]",
121,-34.700422,-58.658395,"[np.float64(6539100798.0), np.float64(6539100796.0), np.float64(6539100797.0), np.float64(6539117397.0), np.float64(6539117398.0)]",
122,-34.627595,-58.380335,"[np.float64(201847.0), np.float64(201848.0), np.float64(206548.0), np.float64(201846.0), np.float64(201849.0), np.float64(201850.0), np.float64(206596.0), np.float64(206603.0)]",
123,-34.702987,-58.493182,"[np.float64(6427101930.0), np.float64(6427101929.0), np.float64(6427101931.0), np.float64(6427116419.0), np.float64(6427116420.0)]",
124,-34.980585,-57.99477,"[np.float64(6441108344.0), np.float64(6441108345.0), np.float64(6441133204.0), np.float64(6441118054.0), np.float64(6441118274.0)]",
125,-34.664878,-58.727285,"[np.float64(6539121241.0), np.float64(6539121238.0), np.float64(6539121239.0), np.float64(6539121240.0), np.float64(6539132400.0)]",
126,-34.631825,-58.361163,"[np.float64(20845.0), np.float64(2031901.0), np.float64(20843.0), np.float64(20844.0), np.float64(20846.0), np.float64(20842.0), np.float64(20841.0)]",
127,-34.616518,-58.706423,"[np.float64(6410110760.0), np.float64(6410110759.0), np.float64(6410122118.0), np.float64(6410131044.0), np.float64(6410118229.0), np.float64(6410118230.0)]",
128,-34.581528,-58.745333,"[np.float64(6760113340.0), np.float64(6760113338.0), np.float64(6760113339.0), np.float64(6760113337.0), np.float64(6760129063.0), np.float64(6560129487.0)]",
129,-34.607278,-58.406133,"[np.float64(207662.0), np.float64(204398.0), np.float64(204515.0), np.float64(206522.0), np.float64(204514.0), np.float64(204399.0), np.float64(204513.0), np.float64(204512.0)]",
130,-34.573997,-58.531723,"[np.float64(6371119552.0), np.float64(6371119553.0), np.float64(6371119551.0), np.float64(6371125647.0), np.float64(6371126117.0)]",
